name,thermal_cond,thermal_cond_liq,spec_heat_cap,spec_heat_cap_liq,density,density_liq,electrical_res,rel_permit,rel_permeab,q3d_id,young_modulus,poissons_ratios,thermal_expansion_coeffcient,type,melting_temp
Ag-99.99%,,,,,,,,,,Ag-99.99%,,,,Conductor,
Ni-Monel,,,,,,,,,,Ni-Monel,,,,Conductor,
Ge-Typical,,,,,,,,,,Ge-Typical,,,,Conductor,
Ni-Monel-cast,,,,,,,,,,Ni-Monel-cast,,,,Conductor,
Steel-Stainless-300,,,,,,,,,,Steel-Stainless-300,,,,Conductor,
Steel-300m-high strength,,,,,,,,,,Steel-300m-high strength,,,,Conductor,
Cu-Constantan,,,,,,,,,,Cu-Constantan,,,,Conductor,
Zn-oxide,,,,,,,,,,Zn-oxide,,,,Conductor,
Nylon-glass filed,,,,,,,,,,Nylon-glass filed,,,,Conductor,
Graphite-Typical,,,,,,,,,,Graphite-Typical,,,,Conductor,
Steel-Chrome,,,,,,,,,,Steel-Chrome,,,,Conductor,
Ni-Pure,,,,,,,,,,Ni-Pure,,,,Conductor,
Ni-Pure_Ref,,,,,,,,,,Ni-Pure_Ref,,,,Conductor,
Al-Die Cast,,,,,,,,,,Al-Die Cast,,,,Conductor,
Au-Typical,,,,,,,,,,Au-Typical,,,,Conductor,
Au-Typical_Ref,,,,,,,,,,Au-Typical_Ref,,,,Conductor,
Asbestos-Typical,,,,,,,,,,Asbestos-Typical,,,,Conductor,
Steel-Stainless,,,,,,,,,,Steel-Stainless,,,,Conductor,
Nylon-Nylon-6,,,,,,,,,,Nylon-Nylon-6,,,,Conductor,
Alumina-Typical,,,,,,,,,,Alumina-Typical,,,,Conductor,
eGRAF_SPREAD_SS300,,,,,,,,,,eGRAF_SPREAD_SS300,,,,Conductor,
Minteq_Pyroid_HT,,,,,,,,,,Minteq_Pyroid_HT,,,,Conductor,
eGRAF_SPREAD_SS400,,,,,,,,,,eGRAF_SPREAD_SS400,,,,Conductor,
eGRAF_SPREAD_SS500,,,,,,,,,,eGRAF_SPREAD_SS500,,,,Conductor,
eGRAF_HS_400,,,,,,,,,,eGRAF_HS_400,,,,Conductor,
eGRAF_HITHERM_SRS_700,,,,,,,,,,eGRAF_HITHERM_SRS_700,,,,Conductor,
eGRAF_HITHERM_SRS_1200,,,,,,,,,,eGRAF_HITHERM_SRS_1200,,,,Conductor,
STABLCOR_ST500,,,,,,,,,,STABLCOR_ST500,,,,Conductor,
STABLCOR_ST325,,,,,,,,,,STABLCOR_ST325,,,,Conductor,
STABLCOR_ST250,,,,,,,,,,STABLCOR_ST250,,,,Conductor,
STABLCOR_ST175,,,,,,,,,,STABLCOR_ST175,,,,Conductor,
STABLCOR_ST10,,,,,,,,,,STABLCOR_ST10,,,,Conductor,
Cu-Aluminised,,,,,,,,,,Cu-Aluminised,,,,Conductor,
Oxygen,,,,,,,,,,Oxygen,,,,Conductor,
Ag-Typical,,,,,,,,,,Ag-Typical,,,,Conductor,
Ag-Typical_Ref,,,,,,,,,,Ag-Typical_Ref,,,,Conductor,
Al-Pure,,,,,,,,,,Al-Pure,,,,Conductor,
Al-Pure_Ref,,,,,,,,,,Al-Pure_Ref,,,,Conductor,
Nylon-Nylon-66,,,,,,,,,,Nylon-Nylon-66,,,,Conductor,
Mica-brick-red or white,,,,,,,,,,Mica-brick-red or white,,,,Conductor,
Steel-Cast,,,,,,,,,,Steel-Cast,,,,Conductor,
Cu-Bronze,,,,,,,,,,Cu-Bronze,,,,Conductor,
Polystyrene-rigid-R12,,,,,,,,,,Polystyrene-rigid-R12,,,,Conductor,
Steel-Nickel(10Ni),,,,,,,,,,Steel-Nickel(10Ni),,,,Conductor,
Nitrogen(@300K),,,,,,,,,,Nitrogen(@300K),,,,Conductor,
Steel-Carbon,,,,,,,,,,Steel-Carbon,,,,Conductor,
Helium(@366K),,,,,,,,,,Helium(@366K),,,,Conductor,
Al-Silumin,,,,,,,,,,Al-Silumin,,,,Conductor,
Water,,,,,,,,,,Water,,,,Conductor,
Carbon Dioxide(@300K),,,,,,,,,,Carbon Dioxide(@300K),,,,Conductor,
Pt-Typical,,,,,,,,,,Pt-Typical,,,,Conductor,
Pt-Typical_Ref,,,,,,,,,,Pt-Typical_Ref,,,,Conductor,
Cu-Brass,,,,,,,,,,Cu-Brass,,,,Conductor,
Epoxy-hysol 6000,,,,,,,,,,Epoxy-hysol 6000,,,,Conductor,
Zn-ferrite,,,,,,,,,,Zn-ferrite,,,,Conductor,
Cu-Pure,,,,,,,,,,Cu-Pure,,,,Conductor,
Cu-Pure_Ref,,,,,,,,,,Cu-Pure_Ref,,,,Conductor,
Fe-Pure,,,,,,,,,,Fe-Pure,,,,Conductor,
Fe-Pure_Ref,,,,,,,,,,Fe-Pure_Ref,,,,Conductor,
Water Vapor(@373K),,,,,,,,,,Water Vapor(@373K),,,,Conductor,
h2o(@373K),,,,,,,,,,h2o(@373K),,,,Conductor,
Helium,,,,,,,,,,Helium,,,,Conductor,
Rubber-Polyisoprene-hard,,,,,,,,,,Rubber-Polyisoprene-hard,,,,Conductor,
Water(@280K),,,,,,,,,,Water(@280K),,,,Conductor,
Mask_material,,,,,,,,,,Mask_material,,,,Conductor,
FR-4,,,,,,,,,,FR-4,,,,Conductor,
FR-4_Ref,,,,,,,,,,FR-4_Ref,,,,Conductor,
Substrate_material,,,,,,,,,,Substrate_material,,,,Conductor,
Pad_material,,,,,,,,,,Pad_material,,,,Conductor,
Mold_material,,,,,,,,,,Mold_material,,,,Conductor,
Die_attach_material,,,,,,,,,,Die_attach_material,,,,Conductor,
Flipchip_underfill,,,,,,,,,,Flipchip_underfill,,,,Conductor,
Ceramic_material,,,,,,,,,,Ceramic_material,,,,Insulator,
FC-72(@25degC),,,,,,,,,,FC-72(@25degC),,,,Conductor,
FC-3283(@25degC),,,,,,,,,,FC-3283(@25degC),,,,Conductor,
FC-40(@25degC),,,,,,,,,,FC-40(@25degC),,,,Conductor,
FC-43(@25degC),,,,,,,,,,FC-43(@25degC),,,,Conductor,
Solder Eutectic Sn-37 Pb,,,,,400,,1.45E-07,,,Solder Eutectic Sn-37 Pb,200000000,0.4,4.00E-06,Conductor,
Solder Lead-Free Sn-3.5Ag,,,,,,,1.23E-07,,,Solder Lead-Free Sn-3.5Ag,,,,Conductor,
Solder Lead-Free Sn-3.5Ag-0.7Cu,,,,,,,1.33E-07,,,Solder Lead-Free Sn-3.5Ag-0.7Cu,,,,Conductor,
Solder Ecosol TSC Sn-3.8Ag-0.7Cu,,,,,,,1.33E-07,,,Solder Ecosol TSC Sn-3.8Ag-0.7Cu,,,,Conductor,
Solder Alloy 99C Sn-0.7Cu,,,,,,,1.33E-07,,,Solder Alloy 99C Sn-0.7Cu,,,,Conductor,
Solder Castin-TM Sn-2.5Ag-0.8Cu-0.5Sb,,,,,,,1.21E-07,,,Solder Castin-TM Sn-2.5Ag-0.8Cu-0.5Sb,,,,Conductor,
Pb_Sn solder,35.8,,130,,11020,,,,,Pb_Sn solder,,,,Conductor,
Moly70Cu,190,,385,,9700,,1.70E-08,1,,Moly70Cu,,,,Conductor,
SiC,120,,750,,3200,,,,,SiC,,,,Semiconductor,
SAC405,48,,167,,8000,,,,,SAC405,,,,Conductor,
,,,,,,,,,,,,,,,
